LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
5.3086009,50.9469983,22,Overdemerstraat,,Hasselt,,,3511,,c9afda67b5f8cded
5.4813764,51.0187509,1A,Anjerstraat,,Houthalen-Helchteren,,,3530,,28114e5bb7cfb850
5.0240278,50.9942878,23,Grasbos,,Diest,,,3294,,085df139d4dd32be
3.9003038,51.1297779,450,Rechtstraat,,Lokeren,,,9160,,8e98231b73dd51df
4.4615606,51.2329484,326,Bisschoppenhoflaan,,Antwerpen,,,2100,,d282e030940b6cf9
4.3774344,50.8466529,17,Orteliusstraat,,Brussel,,,1000,,c3277750de5aa65b
3.1930998,51.1579746,2,Mezenweg,,Zedelgem,,,8210,,3690e5f8cb2864eb
3.2459497,50.9128207,10,Schrijnwerkersstraat,,Ingelmunster,,,8770,,1fdb9cef5855970d
4.6323749,51.0565653,370,Mechelbaan,,Putte,,,2580,,2cbe315b40694e66
4.1917746,50.9166572,8,Pottenbakkersweg,,Asse,,,1730,,0b633adcce85afbf
3.9647101,51.1411607,2,Zuidledestraat,,Lokeren,,,9160,,32ed7d0de3385062
4.3435952,50.8798377,13,Fineaustraat,,Brussel,,,1020,,1dc7513754435155
4.4284503,50.9211175,117,Parkstraat,,Vilvoorde,,,1800,,84de1410c4b7aaac
4.4685537,51.0307639,11,Bethaniënstraat,,Mechelen,,,2800,,f4fb20ce604eb312
4.65452,51.1626753,27B,Wijngaardberg,,Nijlen,,,2560,,d4cad689b611c079
2.9190039,51.2303535,34,Kapellestraat,,Oostende,,,8400,,d1f47467680b2ac9
4.4191268,51.2186641,16,Breydelstraat,,Antwerpen,,,2018,,9990226eceaab764
4.3535261,50.9129306,50,Singel,,Grimbergen,,,1853,,1239d6e9977c8b26
3.4211818,50.8889251,21,René Sabbestraat,,Waregem,,,8790,,98cec52ef17d989e
4.0371702,50.9385505,19,Nieuwstraat,,Aalst,,,9300,,07d47ab018cfa5d1
3.9669005,51.1064797,4,Oscar Van Rumststraat,,Lokeren,,,9160,,ae5716504a2be61e
4.6940983,50.976919,12B,Hinderenberg,,Rotselaar,,,3118,,f0924abc8b48b391
4.5769738,51.3036759,40,Dremelheidebaan,,Brecht,,,2960,,24a403a5b90818ec
4.4180715,51.2217411,78,Van Maerlantstraat,,Antwerpen,,,2060,,55dd2725e057857f
3.9495401,51.1750155,44A,Hospicestraat,,Moerbeke,,,9180,,55a58423572ea18f
5.515318,50.8797718,87,Winterstraat,,Bilzen,,,3740,,db548866d1d7ef4d
4.379152,50.8344039,83B,Graystraat,,Elsene,,,1050,,e6d280575e59dda6
3.1382594,50.9641946,42,Riddersstraat,,Roeselare,,,8800,,792ebc1859299253
4.0605464,50.9311554,82,Brusselse steenweg,,Aalst,,,9300,,d2d436e0ca66b595
4.4459714,51.2559376,189,Moeshofstraat,,Antwerpen,,,2170,,eaef35af176aafb6
3.9121081,50.8906062,36,Goezestraat,,Herzele,,,9551,,6811c6c5288dd2e8
5.2615053,50.9442449,64,Meybroekstraat,,Hasselt,,,3510,,63ccf778dfc915c1
3.4183135,50.8919862,88,Roger Vansteenbruggestraat,,Waregem,,,8790,,f8edb764f3f9ac10
4.5168231,51.0959735,10,Oude Liersebaan,,Duffel,,,2570,,95568d3a8c77f389
4.4407405,51.1515322,164,Boerenlegerstraat,,Edegem,,,2650,,465e73cc14736b85
3.7578136,51.0913971,131,Gentstraat,,Gent,,,9041,,bff37bc63da1f1ad
4.0069163,51.0593127,49,Heikant,,Zele,,,9240,,a3130c09bfa7116b
3.8227147,50.8717962,75A,Grotenbergestraat,,Zottegem,,,9620,,63420986b0f78209
4.4070037,50.805268,4,Berkenlaan,,Watermaal-Bosvoorde,,,1170,,cffa76748669151b
3.0915752,51.1155877,51,Aartrijksestraat,,Zedelgem,,,8211,,a0794619f6af001d
4.7588264,51.3523114,18,Leopoldstraat,,Rijkevorsel,,,2310,,a7dadea5ab656a8e
4.3352781,51.1114966,63,Jozef Wauterslaan,,Niel,,,2845,,d1989ff2ed01360e
4.3230013,50.8837326,38,Rue Frédéric Mohrfeld,,Jette,,,1090,,d22ccd99b63adc71
5.6951245,50.9866264,21,Kruindersweg,,Maasmechelen,,,3630,,1b9a9e9b074314ec
3.9081282,51.034993,70,Nerenweg,,Laarne,,,9270,,cbe8a9afa76e0835
3.2817848,51.3500472,536,Zeedijk-Albertstrand,,Knokke-Heist,,,8300,,ca02adaab1c441ea
4.3712609,50.8231202,42,Dalstraat,,Brussel,,,1000,,9164aa4a77964ca9
3.7282363,51.0522338,1,Geraard de Duivelstraat,,Gent,,,9000,,817af2643be8a522
3.2504515,50.9370968,252A,Bruggestraat,,Ingelmunster,,,8770,,084d68494db357f8
4.8563371,51.3229857,64,Gasthuisstraat,,Beerse,,,2340,,7f76e70404be2b3d
4.7786499,51.3182245,11,Sterstraat,,Rijkevorsel,,,2310,,b3c8acaa85630348
4.3274878,51.3607813,54,Kalmthoutsebaan,,Antwerpen,,,2040,,7a3d988be749e999
4.5508544,51.361423,29,Mansionstraat,,Wuustwezel,,,2990,,6301bec3da1cba39
3.4360296,50.8930232,2,Voldersstraat,,Waregem,,,8790,,78060d58a768bce9
3.2554946,51.3434691,300,Zeedijk-Duinbergen,,Knokke-Heist,,,8301,,9f2d67b06d220933
3.7413098,51.1695802,2,Vaartstraat-West,,Evergem,,,9940,,2f45af5e5743b5ec
3.8557269,50.7692027,106A,Marktweg,,Geraardsbergen,,,9500,,ebb4ef2400890604
4.4740783,51.1238568,51,Duffelshoek,,Kontich,,,2550,,386055515622cabd
4.2073545,50.7177893,335B,Arthur Puesstraat,,Halle,,,1502,,6a71cf077398fc49
3.3051406,50.8303022,23,Spinnerijstraat,,Harelbeke,,,8530,,e43abc25f4fd8a97
4.8946864,51.2442334,13,Gierlebaan,,Kasterlee,,,2460,,e0696a39e651627e
4.3319168,50.8104328,49,Minervalaan,,Vorst,,,1190,,fc926b163a1d2397
5.723223,51.1477896,25A,Broekstraat,,Kinrooi,,,3640,,819abbb82afe9da6
4.3202168,51.2176467,34,Melselestraat,,Zwijndrecht,,,2070,,f735df4a577cd060
4.3346446,50.7717193,10,Fons Dehaesstraat,,Linkebeek,,,1630,,539ffb58975f997f
4.7373067,50.8637308,24,Hoogland,,Leuven,,,3000,,ef77eda21c599ddb
4.2640225,50.8571943,135,Elegemstraat,,Dilbeek,,,1700,,e7fae884b4a266a2
3.7459183,51.0368035,42,Hilarius Bertolfstraat,,Gent,,,9050,,20f9f045129cf3ae
4.4418717,51.1563894,32,Drie Eikenstraat,,Edegem,,,2650,,b315cb6d9f5cd6f7
5.4469505,50.9223435,4,Lutselusplein,,Diepenbeek,,,3590,,42fa34925cd85522
5.013445,51.1293848,12,Gasthuisheide,,Geel,,,2440,,67ba59d62d48ec5b
3.0112283,51.0911124,19,Arthur Coussensstraat,,Ichtegem,,,8480,,c39da9215bde370d
4.7612024,51.400247,167,Vrijheid,,Hoogstraten,,,2320,,3aaca2da3cdc9555
5.1792585,50.8009271,275,Naamsesteenweg,,Sint-Truiden,,,3800,,dbbc015e74146b04
4.3925476,50.8534125,494,Chaussée de Louvain,,Schaerbeek,,,1030,,68c3f3b4da01c0e8
5.1557763,51.2382943,73,Blokstraat,,Dessel,,,2480,,d12ccb53c7b6dfec
3.7481691,51.0527759,271,Dendermondsesteenweg,,Gent,,,9040,,cbeffa38d796b348
3.7368595,51.0357196,131A,E3-plein,,Gent,,,9050,,dbae1f1a5da7f9cc
4.3818304,51.1797295,34,Robert Broeckhovestraat,,Antwerpen,,,2610,,3dc3f59d359f3348
4.5093175,51.3059805,27,Pauwelslei,,Brasschaat,,,2930,,66c45b462505598d
3.9568764,50.8790651,19,Burg. D'haeseleerstraat,,Haaltert,,,9450,,c1f42f3aa65d2564
3.2569671,51.1985325,25,Lindelaan,,Brugge,,,8310,,f71e336dc4486adf
4.3598331,51.1830547,1,Portugesestraat,,Antwerpen,,,2660,,8d2a4a1d41284472
3.4129845,51.1332253,29,Hoekestraat,,Knesselare,,,9910,,1c5dea9f80dccce7
4.7604495,51.3990924,199,Vrijheid,,Hoogstraten,,,2320,,aa61a7d6e04c0422
5.2702289,51.2162998,240,Balendijk,,Lommel,,,3920,,145be8220e22c2a8
3.1486012,51.0240633,64,Koolskampstraat,,Lichtervelde,,,8810,,20e881eac35a4396
2.8008707,51.1771515,100K,Westendelaan,,Middelkerke,,,8430,,eeaa1832f773de20
4.3673203,50.8307918,32,Elyzeese Veldenstraat,,Elsene,,,1050,,8255f21be4403825
3.3371164,50.8758815,22,Akkerwindelaan,,Waregem,,,8791,,9f85c5c3c1381235
4.3739682,50.8647282,302,Chaussée de Haecht,,Schaerbeek,,,1030,,a6f8db059696e654
2.5846291,51.0964843,36,Koninklijke Baan,,De Panne,,,8660,,654ac9e2660aacfe
4.3233346,51.2173373,3,Leo Metsstraat,,Zwijndrecht,,,2070,,4ba3acdbf8c7179e
3.2565748,50.8236298,25,Kongoweg,,Kortrijk,,,8500,,553558db1516ebd3
4.7545853,51.1409524,19,Bouwelse Steenweg,,Herenthout,,,2270,,63f595b0d4914b22
3.8822819,50.7735109,2,Denderstraat,,Geraardsbergen,,,9500,,5371e169e45590ff
3.9254122,50.9736871,80,Briel,,Lede,,,9340,,55ce4d7c10ccbd3d
4.5007925,51.3959914,9A,Brasschaatsteenweg,,Kalmthout,,,2920,,001456d321370374
3.5395992,50.9745823,48A,Herfstlaan,,Deinze,,,9800,,48637801c0892eaa
5.5302959,50.9812778,3,Kruiseikstraat,,Genk,,,3600,,69c5b40b37769bc8
4.3353026,50.8843117,13,Rue Pierre Verschelden,,Jette,,,1090,,f35d9f5841de579e
4.2607547,50.9939715,57,J. Van Doorslaerstraat,,Londerzeel,,,1840,,c48edc5e0142ae93
3.7551291,51.050592,53,Destelbergenstraat,,Gent,,,9040,,ef05db69bfb0a98e
4.0326938,50.9562477,49A,Gooikenstraat,,Aalst,,,9308,,13d74ce4e0c7eb88
4.3899017,51.2070295,27,Edward Pecherstraat,,Antwerpen,,,2000,,ace2dd96f4b23ee5
3.0021091,51.1885569,22,Vissersstraat,,Oudenburg,,,8460,,8db42276dd56c5d0
3.1234466,50.799811,111,Bruggestraat,,Menen,,,8930,,55d1d022a2eccedb
3.0808114,51.3007943,4,Langestraat,,De Haan,,,8420,,de18180bbe6697b5
4.1217135,50.8386778,10,Keyerberg,,Roosdaal,,,1760,,b41b70b2c1fdc936
3.5740556,51.0562441,14,Kerkstraat,,Nevele,,,9850,,8f64ada0cf3a72be
4.7009786,50.8825565,51,Vaartstraat,,Leuven,,,3000,,35ca010c6b7c13eb
4.3065688,50.8601421,716,Chaussée de Gand,,Molenbeek-Saint-Jean,,,1080,,138682a80822668f
