LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
13.592105,52.5159469,14,Finsterberger Straße,,Berlin,,,12621,,832971ef297828ef
8.4344468,51.9056055,75,Spexarder Straße,,Gütersloh,,,,,fb0cc1bad3ad92a0
6.6525538,51.6645153,25,Am Texas,,Wesel,,,,,53bc5684f2e0078b
8.3708615,52.049343,16,Stodieks Hof,,Halle (Westf.),,,,,f12373337b5a8510
6.1343453,50.8233655,107,Bahnhofstraße,,Würselen,,,,,b072feed78e5bc91
6.8864494,51.122714,11,Kreuzkämpchen,,Monheim am Rhein,,,,,3e56b6fff91c984b
13.4117495,52.4455928,3 A,Plautusstraße,,Berlin,,,12109,,041fdf70cc8601a5
13.0589048,50.8640169,14,Chemnitzer Straße,,Flöha,,,9557,,
7.6240613,51.9058902,1,Böttcherstraße,,,,,,,a80f28835872fb94
7.4921592,51.3703639,4,Brahmsstraße,,,,,,,005ceedd0c0c6218
6.1308733,50.9652828,9,Graf-Goltstein-Straße,,Geilenkirchen,,,,,e24d0126a3f74ea9
6.9406043,51.5405536,8,Christine-Teusch-Straße,,,,,,,97a7e99935fd509c
13.5653392,51.1669129,27,An der Post,,Weinböhla,,,1689,,
8.4882713,51.9850152,26,Mülheimer Straße,,,,,,,6e36f58c6a1a4142
12.3267997,50.8918037,14,Hauptstraße,,Schmölln,,,,,adef5d2a326da10d
6.7723211,51.4684141,30,Biesenstr.,,,,,,,d64a97140b99000c
7.1828742,50.9270375,13,Im Weidenthal,,Rösrath,,,,,a4349c8be4e61a88
7.6773152,51.9177314,43,Ostpreußenstraße,,,,,,,f95f778506307f6d
6.2092345,51.2450009,18,Bergbendenweg,,Brüggen,,,,,37efc693df72a998
11.6252606,50.9300586,60,Franz-Gresitza-Straße,,Jena,,,,,18d1bb7580e2b898
7.4541272,51.5513352,86,Bergstraße,,,,,,,cd22174cd100baea
13.2945645,51.0622175,7,Fabrikstraße,,Nossen,,,1683,,
6.8850222,52.4783395,13,Hesinger Straße,,Uelsen,,,,,3cf4527f856bb8bc
7.6532596,50.9412147,22,Eichholzer Straße,,Reichshof,,,,,8ba1e138692669de
7.3000793,51.4303172,136,Kleff,,Witten,,,,,58f7c18ede5209be
12.6812386,50.6301685,85 a,Hauptstraße,,Bad Schlema,,,8301,,
8.7575657,50.1539578,36,Am Bächelchen,,Frankfurt am Main,,,60388,,16c61cf3be35f919
6.565106,50.9458043,103,Winterbach,,Elsdorf,,,,,4ce3b493ee0881cd
13.2712792,52.6337608,6,Speerweg,,Berlin,,,13465,,bc86d242bab93c01
10.2341685,50.806467,3a,Am Park,,Bad Salzungen,,,,,14c3e8b60498b08b
13.0301145,51.1398628,83 d,Am Waldrand,,Großweitzschen,,,4720,,
12.5964464,51.1729111,32,Straße des Aufbaus,,Bad Lausick,,,4651,,
13.5688308,52.4630559,7,Birnbaumer Straße,,Berlin,,,12555,,94b0121edbea3da4
6.8739333,50.651935,45,Am Rodderbach,,Swisttal,,,,,45f62df350af9eec
7.1422023,50.959269,17,Föhrenweg,,Bergisch Gladbach,,,,,6539c7104c8f3de4
10.8554848,51.3842493,39b,Glückaufstraße,,Sondershausen,,,,,8df48a9f236d9d80
6.8878842,50.9870042,18,Claudius-Dornier-Str.,,,,,,,7efe36e569f9d1f5
6.966631,50.8245338,10,Martinstraße,,Wesseling,,,,,e24cad3ce71e5c90
7.4270674,51.3542799,43,Im Lindental,,,,,,,894b4c24d1290ad8
13.4811387,52.6068287,81 C,Straße 52,,Berlin,,,13125,,bf24311902458798
13.3678026,52.4269084,36 A,Belßstraße,,Berlin,,,12277,,70c2b75d52acfb49
6.8435082,51.044802,173,Sinnersdorfer Str.,,,,,,,0a95c6a8d647bdc6
6.9657615,51.683608,38,Am Lipping,,Dorsten,,,,,bf8f1bba34f8ed5e
6.1521562,50.8137897,278,Hauptstraße,,Würselen,,,,,78480b36d3175d1e
6.5544784,51.4906692,4,Heifeldstr.,,Kamp-Lintfort,,,,,d40a92627a75c196
6.444997,51.1886623,3,Jakobstraße,,,,,,,0eb91e3ceecc361b
7.0799495,52.568491,3,Buchenstraße,,Georgsdorf,,,,,6f036c1c20a65f5a
6.8702156,51.5160402,3,Antoniestr.,,,,,,,c0f3fa3c25299b26
13.3476095,52.4149911,56,Hildburghauser Straße,,Berlin,,,12279,,5229f8b369d185e2
13.4783233,51.2002546,21 b,Zum Gosetal,,Diera-Zehren,,,1665,,
6.5177257,50.7260776,63,Drovestraße,,Kreuzau,,,,,c41530c6d7005a20
6.2799371,51.5958692,22,Maria-Gilles-Str.,,Kevelaer,,,,,95923393bec06399
8.118201,51.000223,61,Ferndorfstraße,,Hilchenbach,,,,,f5a27040f3f9a7cf
6.6718526,51.848167,29,Zu den Tonwerken,,Rhede,,,,,bc5a25c4fc5d40bd
6.6712295,51.6000233,9,Am Steg,,Voerde (Niederrhein),,,,,49114346a2f61614
11.3456641,50.8587987,8,Große Nonnengasse,,Blankenhain,,,,,ff6d49e2217ae036
6.7265308,51.5380153,26,Paulstr.,,,,,,,c6a40baf575aa4c8
12.0236029,50.661662,7,Niederböhmersdorf,,Zeulenroda-Triebes,,,,,edd44c177fd96876
6.5944638,51.1264556,8,Goldregenstraße,,Grevenbroich,,,,,ad0a43f6f33300ec
12.442327,50.6766014,10,Zechenstraße,,Lichtentanne,,,8115,,
13.4347761,52.4944278,112,Reichenberger Straße,,Berlin,,,10999,,7d050d0cf3166c49
13.4409816,52.5964,24 A,Ludwig-Quidde-Straße,,Berlin,,,13127,,57788b23bd9ff19d
7.2439825,50.8633336,9,Steinhauerhäuschen,,Lohmar,,,,,b7c9598d0aad7a32
7.0324276,51.1751846,17,Hügelstraße,,,,,,,b7ae7d63b0f8055f
6.3059234,51.0718666,44,J.-Monnet-Straße,,Erkelenz,,,,,9d413798a446f406
6.8164632,51.0667763,25,Von-Lauff-Straße,,Dormagen,,,,,b33a0a9a6a5a4141
7.2273959,52.3360506,18,Akazienstraße,,"Schüttorf, Stadt",,,,,66a53eaeb5378d76
