LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
1.9016426,50.1513596,4,rue du haut,,Millencourt-en-Ponthieu,,,80135,,4fc276b5603f5c13
1.0483358,43.7292361,52,avenue raymond sommer,,Cadours,,,31480,,eb53fb628c5bba7a
3.110926,45.8063527,1,rue pierre servoir,,Clermont-Ferrand,,,63100,,70e9aff73979b373
1.5389144,43.9300682,70,rue du presbytère,,Verlhac-Tescou,,,82230,,8d609f2c55b663fa
4.0611434,48.2934567,5,rue benoît mâlon,,Sainte-Savine,,,10300,,a919628c8cd7c00b
-0.1726033,43.5522102,442,chemin du docteur brus,,Conchez-de-Béarn,,,64330,,d4e2c62126fadd62
-0.668675,43.7391177,163,allée de tauziede,,Montaut,,,40500,,ed881dcd3d7b46a5
5.5913209,43.3899454,3,impasse de la carreirade,,Peypin,,,13124,,f68220a93d07ff87
-1.5464669,49.0484949,221,rue du carré,,Tourville-sur-Sienne,,,50200,,0e4cd8eb436e3dc1
3.0274292,42.6920947,2,impasse des narcisses,,Canet-en-Roussillon,,,66140,,469a4e623b6e1835
0.3098072,45.2852746,1079,,,Allemans,,,24600,,127fd88e525106ee
55.4732847,-21.3133254,39,chemin raphaÃ«l,,Saint-Pierre,,,97410,,b783d452f18afae3
-0.2364945,46.3338172,14,le carrefour,,Aigonnay,,,79370,,581f8c945e2644a6
0.7892616,42.9860991,40,village,,Sengouagnet,,,31160,,5d6e7a286e1b10ab
-1.1361819,44.7780716,8,impasse du grand banc,,Arès,,,33740,,87f50c71daed829a
4.8336403,45.0660469,17,rue du 14 juillet,,Tournon-sur-Rhône,,,07300,,14bead472928097d
3.3297268,44.5666083,3,rue du four,,Montrodat,,,48100,,803298e323b13677
2.6388666,48.9335217,128,chemin de chelles,,Claye-Souilly,,,77410,,7e830da31ea898f4
1.7000752,47.8975417,4,rue des champs fleuris,,Huisseau-sur-Mauves,,,45130,,d532313bbbc4eb1d
2.8058878,46.3355249,42,rue victor hugo,,Doyet,,,03170,,37acd4bcd8e7b1c9
2.4730951,47.0868389,4435,route de bourges,,Osmoy,,,18390,,e5570a6acc3bd8e5
0.7447813,43.0021366,5,hountarilles,,Arbon,,,31160,,362e3fcb3e77bc17
5.5831831,45.3435317,127,chemin du janin,,Saint-Jean-de-Moirans,,,38430,,0f3b6ca002bfa35b
2.0950729,43.7296844,5534,la bruyerette,,Lautrec,,,81440,,34183d38a101c50f
3.0012934,50.612432,98,rue georges potie,,Loos,,,59120,,6692e20430389293
3.4530166,45.472464,7,route de sainte-catherine,,Vernet-la-Varenne,,,63580,,753ddb20ea3ee661
5.1154292,43.3400837,21,rue richard wagner,,Sausset-les-Pins,,,13960,,d9b820e6165c3379
3.3600331,49.6631563,9013,avenue dupuis,,La Fère,,,02800,,d28b4174b318f843
2.2464093,43.5084932,9103,les bousquets,,Labruguière,,,81290,,33a752ab13f5f13e
4.2174701,43.6852637,755,chemin des sarcelles,,Aimargues,,,30470,,1eaffbd735e2a102
2.6766111,45.6885564,5094,farges,,Briffons,,,63820,,b237c59cb15833b9
0.0302753,48.9169545,5032,grandmesnil,,Saint-Pierre-en-Auge,,,14170,,9b063d864357b030
0.2702141,46.6107478,2,rue des lys,,Vouneuil-sous-Biard,,,86580,,160fc75409740240
-2.7515713,48.4982295,2,rue auguste blanqui,,Saint-Brieuc,,,22000,,73441a50d7bbee18
1.51665,46.3240487,19,,,Bazelat,,,23160,,c472d2b526ea601f
4.8759743,47.095546,15,rue du creux lachet,,Magny-lès-Villers,,,21700,,f2f5c2e4aae2972e
-0.9274613,45.668948,6,impasse des pierrières,,Saujon,,,17600,,1eb9c277a31d93f2
4.6268756,43.6757844,17,rue des carmes,,Arles,,,13200,,b21c73e9b38787b9
6.5897334,46.111689,5393,montée de la diamanterie,,Taninges,,,74440,,6e5390dfdd515e60
5.2072167,46.1906604,234,rue chaudouet,,Péronnas,,,01960,,aaca87f6055b5437
2.3403583,49.0377841,131,avenue jean rostand,,Domont,,,95330,,0aec158d79fb7664
2.7002492,50.5051497,45,résidence du château des prés,,Sailly-Labourse,,,62113,,91b6d5c6e75bcd2c
4.3108131,46.30787,5080,curbigny,,Curbigny,,,71800,,32ee76f9668d2736
1.7745298,45.4279636,5088,,,Beaumont,,,19390,,d139552c77250546
-0.302399,48.993854,2,rue des basses chauffeterres,,Saint-Germain-le-Vasson,,,14190,,eb17e065aa0c6f85
1.3371626,43.6141826,5,chemin de millassis,,Colomiers,,,31770,,0defbb48402336ea
1.3623757,49.1851831,1,résidence du catillon,,Courcelles-sur-Seine,,,27940,,f7578d01137350ee
6.004835,43.5602007,5081,impasse du stade,,Barjols,,,83670,,3f9a8070d68a0ff8
2.0136458,49.254104,157,rue de chaumont,,Senots,,,60240,,289878ab5aa62575
-2.2390829,48.5220059,1,rue chateaubriand,,Plancoët,,,22130,,ddee66efad7a54f0
0.9152357,48.8398704,58,rue pasteur,,Breteuil,,,27160,,005b1e90dd1edf36
-2.0550651,48.6281081,23,avenue du général giraud,,Dinard,,,35800,,dc775c113eb3d8c3
2.4841764,48.6112993,12,rue albert mercier,,Corbeil-Essonnes,,,91100,,cb611ba14442ceb4
4.979713,43.8980134,1,allée des cerisiers,,Caumont-sur-Durance,,,84510,,d2ad0882cebc8faf
-1.1422651,46.165758,71,avenue des cordeliers,,La Rochelle,,,17000,,90935c522ce34c3d
