LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
6.2841364,49.7942714,8,Rue de la Montagne,,Waldbillig,,,7681,158747,9fcf8de9ac55a1c7
6.4356981,49.7851689,3,Neigaarden,,Osweiler,,,6572,157731,9689b46265b48f35
6.0422647,49.4779147,91,Rue Principale,,Tétange,,,3770,72851,487cb7e628208aa1
5.9771196,49.4961924,40,Rue des Charbons,,Esch-sur-Alzette,,,4053,64810,89d00774f7554e82
6.0344285,49.4790159,53,Rue de l'Industrie,,Tétange,,,3774,72175,42b409da47e65c45
6.3959726,49.7311,7,Neie Wee,,Berbourg,,,6830,164618,b4f812670838252b
5.8872076,49.5345418,33,Rue du Kirchberg,,Niederkorn,,,4612,49566,6725b1fe92b83e9b
6.1393324,49.570846,45,Op der Hobuch,,Fentange,,,5832,100846,9cc76fafd824bd5a
6.1419456,49.7207185,148,Route de Fischbach,,Lintgen,,,7447,121503,16659fd9f8dde740
6.3621906,49.5459955,49,Rue de la Gare,,Remich,,,5540,172649,af1e355ad8a4c086
6.2463092,49.7041585,11,Rue Tun Deutsch,,Junglinster,,,6111,178866,a0a52207f96f8977
6.1497578,49.5715237,16,Rue de Gasperich,,Hesperange,,,5826,102140,53a06d979e6b5d6f
6.1663402,49.8686399,48,Rue Clairefontaine,,Diekirch,,,9220,131887,44f2e5698a524d8f
5.9531162,49.5097868,16,Rue d'Offenbach,,Esch-sur-Alzette,,,4270,63311,55ae229568ed7013
5.873262,49.8141754,39,Rue Principale,,Folschette,,,8834,141985,b5d7b3d0596fbcd1
6.2551248,49.6167682,23,Beim Fuussebur,,Schrassig,,,5364,109100,51a22788946fcc31
6.0991402,49.8261051,20,Enner den Thermen,,Schieren,,,9137,226093,6d9d04d5c72d10f1
6.0353742,49.6653107,33,Rue de Mamer,,Kehlen,,,8280,33745,a4d8f188a4e7df6b
6.3935278,49.7359922,9A,Keiwee,,Berbourg,,,6831,209420,ed2eb82ed3bdcdef
6.0629228,49.7891521,4A,Route de Boevange,,Bissen,,,7762,118012,bb7d75dabb2c8be1
5.9269582,49.5072858,30,Rue de l'Usine,,Belvaux,,,4490,87794,8eebec6c4c781311
5.9793118,49.7658769,27,Route d'Arlon,,Useldange,,,8706,145001,81db3ebe061f82cb
6.4125571,49.8097911,10,Rue C-M Spoo,,Echternach,,,6483,156053,11ae270227a70a49
6.1427487,49.5824613,14,Rue Henri Entringer,,Howald,,,1467,103639,083101db61b4b7ff
6.0353056,49.8571863,64,Rue Belle-Vue,,Niederfeulen,,,9176,226914,6597ce2fd9dcefc5
5.9080857,49.5715688,11A,Rue de Bascharage,,Hautcharage,,,4910,221806,358f48b46900c98c
5.8907813,49.5262929,4,Rue Kelvert,,Niederkorn,,,4598,50508,08483648fb33f25d
